License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1171866,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL BUEN AMBIENTE INC,,108 E 198TH STREET,CRESTON & GRAND CONCOURSE,BRONX,NY,10468,857896,03/08/2006,03/01/2016,02/28/2018,40.8706231623,-73.8918981325,"(40.8706231623, -73.8918981325)"
1172870,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,JAY'S PLACE LLC,JAY'S PLACE,5782 MOSHOLU AVENUE,POST ROAD & FIELDSTON ROAD,BRONX,NY,10471,859032,04/27/2006,04/01/2016,03/31/2018,40.9054350427,-73.8979095433,"(40.9054350427, -73.8979095433)"
1173164,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL MANGU SABROSO RESTAURANT INC,,80 W KINGSBRIDGE RD STORE 2,,BRONX,NY,10468,857619,03/29/2006,03/01/2016,02/28/2018,40.8680847197,-73.9005289985,"(40.8680847197, -73.9005289985)"
1175063,LIQUOR STORE,222,L,New York,1,BRONX,KTM WINE & LIQUOR CORP,JC LIQUORS,337 E 143RD STREET,3RD AVENUE & WILLIS AVENUE,BRONX,NY,10454,857076,05/24/2006,05/01/2015,04/30/2018,40.8130634638,-73.9223642488,"(40.8130634638, -73.9223642488)"
1175821,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LAS CAMELIAS BAR & RESTAURANT CORP,,1802 WESTCHESTER AVENUE,BEECH &  TAYLOR AVENUES,BRONX,NY,10472,860356,06/01/2006,06/01/2016,05/31/2018,40.8318141283,-73.8662063918,"(40.8318141283, -73.8662063918)"
1176903,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,4 A KIDS LLC,F & J PINE RESTAURANT,1913 BRONXDALE AVENUE,,BRONX,NY,10462,860980,07/20/2006,07/01/2016,06/30/2018,40.8488707927,-73.8620135052,"(40.8488707927, -73.8620135052)"
1182411,LIQUOR STORE,222,L,New York,1,BRONX,V & V LIQUOR STORE CORP,,220 E 198TH STREET #5,GRAND CONCOURSE & VALENTINE AV,BRONX,NY,10458,877709,04/26/2007,04/01/2016,03/31/2019,40.8696423506,-73.890223968,"(40.8696423506, -73.890223968)"
1185652,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TALCIRIS E SALAZAR,EL CASTILLO RESTAURANT,935 E 163RD STREET STORE # 2,,BRONX,NY,10459,850272,07/16/2007,07/01/2015,06/30/2017,40.8210519782,-73.8967450258,"(40.8210519782, -73.8967450258)"
1186025,LIQUOR STORE,222,L,New York,1,BRONX,JC MORE INC,,797 E 170TH STREET,COR. OF 170 ST & PROSPECT AVE,BRONX,NY,10459,884774,10/03/2007,10/01/2016,09/30/2019,40.8332223862,-73.8954106611,"(40.8332223862, -73.8954106611)"
1187629,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL LIDER RESTAURANT CORP,,4535 PARK AVE,182ND & 183RD ST,BRONX,NY,10457,846809,06/21/2007,06/01/2015,05/31/2017,40.8556280582,-73.8950494154,"(40.8556280582, -73.8950494154)"
