CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
730636170,06/24/2016,13:54:00,02/28/2017,14:05:00,02/28/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,47,INSIDE,RESIDENCE - PUBLIC HOUSING,,EDENWALD,1026242,262091,40.885961642,-73.848135601,"(40.885961642, -73.848135601)"
463975165,06/29/2016,07:00:00,02/17/2017,07:00:00,02/17/2017,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,,STREET,,,1021254,256159,40.869702477,-73.866207651,"(40.869702477, -73.866207651)"
563545204,07/01/2016,00:00:00,03/12/2017,10:10:00,03/12/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,,,1012901,254530,40.865262434,-73.896416174,"(40.865262434, -73.896416174)"
151647902,07/11/2016,11:47:00,01/31/2017,12:00:00,02/03/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE-HOUSE,,,1025806,262122,40.886048791,-73.849712219,"(40.886048791, -73.849712219)"
724865968,07/28/2016,14:04:00,07/28/2016,14:14:00,02/22/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE - APT. HOUSE,,,1027822,265225,40.89455581,-73.842401084,"(40.89455581, -73.842401084)"
583197352,08/01/2016,08:00:00,01/25/2017,08:00:00,01/25/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,42,INSIDE,RESIDENCE - APT. HOUSE,,,1008343,239467,40.823932548,-73.912949346,"(40.823932548, -73.912949346)"
489967916,08/01/2016,21:00:00,,,01/19/2017,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,FRONT OF,RESIDENCE - APT. HOUSE,,,1011851,253013,40.861102075,-73.900218606,"(40.861102075, -73.900218606)"
232524759,08/01/2016,10:00:00,01/11/2017,10:00:00,01/12/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1015431,248837,40.849628291,-73.887295663,"(40.849628291, -73.887295663)"
898154105,08/05/2016,18:00:00,02/05/2017,18:00:00,02/08/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1005303,248396,40.848447832,-73.923905353,"(40.848447832, -73.923905353)"
146836913,08/15/2016,20:00:00,02/22/2017,12:30:00,02/22/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1006301,241439,40.829350458,-73.920320955,"(40.829350458, -73.920320955)"
